Brand,Title,Selling_Price,Price,Discount,image_indices
Chkokko,Men Solid V-Neck T-shirt,399,999,60%,"['1ohmN9ASqKaR4gz9if8wUiO2j1eg_Z3HD', '1e5IM_wQ0hS0UJNLYy7BDi-7g59OvzUnM', '1Ix4cdMJ-iaNum6jzcAAABrAqGkwWbTMh', '1eGRMTCtD59EWgKoCX8-cAUzVDwxHc258', '1DG3kRISZZLP2rgwoaK0JA0R5zaiXiRSl', '1U1yZMZwjqEcdH1SbQOvArxmcZ5Diuf7r']"
PORTBLAIR,Solid Polo Collar T-shirt,399,999,60%,"['1lG7ykGTocFrnSUpnwTij-mGhaCoqQMc7', '1Z1mMpNanIF9g76ZuRXGAz6M09b1wQV1C', '1H3pZzAvkTRdx9z2UmjBv6vSZ7IrNjg7_', '1U5lb4m8bX5ZwJJG84toxQVh-d5DyYfnS']"
Basics,Printed Round Neck T-shirt,399,999,60%,"['1N8CiHgUmkSs8kNaYXHJpqzVykTgdwWy9', '1MQd1IX21NwGbD0Hyuu5hl4NrmJJ4FkBp', '1wdI5OxBrAy-IccfTAV9n_4hX4rWcO00m', '1Oxioi-yCNCkwjo1uaVNeSFLX4G8XzsY9', '19-FiBeYK_1rJwi4H30V8fmhpKOBfZp0f', '1I8HN9k0sG9LXuU1GCFBy9nqCGr34raJy', '1IbTmEyWfb3K4zKbtr5caSyu3iwfGGr-Z', '1ys3Rb6AspO9jZwfLqnnqtVVn1U8TVcOu']"
LE BOURGEOIS,Colourblocked Round Neck T-shirt,399,999,60%,"['1IWM2cX6OmkEvVhAq2VehLJHjLq3UjVwJ', '11ZoFCbL_tPTMMnlF2lrTR-_L0UOzoXdS', '1tm-Y45isy1oMgFtGOgcsTQxEAHjTxtrj', '1MQd1IX21NwGbD0Hyuu5hl4NrmJJ4FkBp']"
Moda Rapido,Printed Polo Collar T-shirt,549,1099,50%,"['151kJH6hNTtJAJAtkwiBz3OBddrK8Ipl-', '1oPyUhuEl4-uInCoyqns-OSQ4SITD1oTF', '1fKYEUnf1V-L8KNGRuWvngKasee3ysF1E', '1gEL5qEe6K3cFh-TxpyrRXp3bh15HT6XI', '13SQ8V0GI5-c_mZxm4Ktq5t7wdZW0YcnI', '1KaqqTMWf5C4KfkTLFfxQCUSGbXfOQiXf']"
ONLY & SONS,Printed T-shirt,399,999,60%,"['1K5qVULRAk1IryJAsH5OFsyGcEQlnMVnr', '11nPojmO4L_1tM9OIIh_JFFKT_BnsYkM8', '1bLGY4Kv-wDBpWhIkqRjT4W8OIxFlfWlP', '1TFdRtr_wfKR98pEt8UvR6FlxLOdCVF4v', '1e5IM_wQ0hS0UJNLYy7BDi-7g59OvzUnM']"
H&M,Long T-shirt,699,699,0%,"['1gu2iKkkgZf1RxNt_LRcyn87TJALNTaUa', '1imwHRO6YZKPoyw6Zme44CqaPkeMaLIaJ', '1ys3Rb6AspO9jZwfLqnnqtVVn1U8TVcOu', '141BVeSIP9hOXC7c1QCOMQjzASTKOgm11', '1uxpeIllheLoeU8RZyEVDLz01VuMmRLbp', '11nPojmO4L_1tM9OIIh_JFFKT_BnsYkM8', '14RxGWA-PEngDS0QnzkJ6XxU6PjTqrxEH', '1lnzZGSK1v7fTC_6kEd28_Jp-Lx3P9rH1']"
Puma,Loose DryCell Training T-shirt,1439,1799,20%,"['1KjKbuqXroFoMfl-0t_MnHgydAPtoQaZW', '1LWfF72WtNOxHe57oBn41gbshB8BEm6q9', '1P17oecy9J9kUBs1K_i9UB0Bu4vuH27r4', '1ylEtnv5sXLhpZg5TDUp6KAYWXP9eXp_y', '1Rq7s4-TwN0NIrEYrdb2bq3W_mN9ktw1M']"
LE BOURGEOIS,Men Solid Round Neck T-Shirt,399,999,60%,"['17KVvwcKtmI2AQNZq7lFkdwGGkOazhA-F', '13tYZxeNAIltIpxe4HL1QobKmCwogUx2T', '17v1-yOzVG6bR_573nWDqeu8DyGcqXbIM', '1RstbZPcjFpMzy1prnJ8nuF6XHealSwO-', '1xNHvcQgMMKgB5SGjhv9gmvyr7G_e3c7I']"
French Connection,Printed Polo Collar T-shirt,989,1799,45%,"['1CnB6FLtRB1ExwKDvqWI5qo84PYqTuw0E', '1_EFO87in4t9Hk_mkBzXNgcqeAyHpqcTT', '19LM7GJpuAy1gUAlrYSPtwsNM-H_0I3Vk', '1q-zQMfMfHZZsavdiqJqMgmxcoeYtX7_K', '1E9G6B-aTKYHig-f-eIoxVz5rA1gWeZ3t']"
DILLINGER,Striped Round Neck T-shirt,539,1199,55%,"['1T92pIUo_9SUQ-ji7s9yGTmW24Dm-R1hK', '13Rzf5Q8TyV1X3uMp2GLX8cjXjQoiRO08', '1R1ZnecaoKDmxwZa_8z325ORPyCNT24Yi', '1OH9dP-Z0oWaRRN6oz5lGzUDrubYd6BCe', '1OIMKWFOd0_3y87Mucr1UpecvH2Ck0iSU', '1Wio8Plm19FdICMcdBlLgTtqDIPM0Nvaz']"
Indian Terrain,Printed Round Neck T-shirt,576,1049,45%,"['11Zzj0QS-7iHTKp1moVPUzY9k89RvIgBa', '15QATxamwmx1mMow__-yObRiG8HJ6nWDM', '1rttWfpDhi6UD92SLdPGAreRqsYk6yOJu', '1KPX5czNmOtUCnguFPcVJi3wgwQSdqHJd', '1cc5gaMBpK1zI4g3tVkOCKSe8Ny03-zaK', '1yFcR6Icv1mK2Dz8myBPp99mfwslZxxN2', '1sxDrnY-bqNbgU2RUQbGKlY5RsP--Xj89', '1uUgyyurAcdAoyn_FyftIBcmEvzaqN9di']"
Roadster,Men Solid Round Neck T-shirt,389,599,35%,"['1Fgz2B8_JANbWAVx4HU2dNh7FDMTw-owJ', '1AliAd5Sca9O10RGiND1gj4LDWABokV5D', '1lTv6Vi5EkS5R6s0QxFoHWEYwalIWnS5Y', '1ohmN9ASqKaR4gz9if8wUiO2j1eg_Z3HD']"
Proline Active,Men Solid Round Neck T-shirt,539,899,40%,"['1UfG637_GiINuycidLdvasxJ_ouFRQnM4', '1pMUROCRoPlfpnbZeMWl-IK4tvIH_9c_K', '1_lC_TeIt9cYcXHI5epmDaoMaPJVXbUsr', '1Qoe0Is_tgH7lOaNTIpPfhxXdN9e_E0z8', '1yg6gqeQ-x_0qb_3A2eMpSu_ME2AId59n']"
Jack & Jones,Printed Slim Fit T-shirt,824,1499,45%,"['1h1WtPbCt5h7z6uOPk_7b9F1ftwojyfLw', '1lWakZPrdZaJaooNQ9-TlE1Hhz2qkQfJx', '1MW1WUozeTOF3M-Pj1BbCxd4rEInBFHFg', '170eoN-1ZHSe3RhlFBgjty3VD3m6yPiMy']"
HERE&NOW,Men Colourblocked T-shirt,519,1299,60%,"['1lubDABZiToO7lbJnsGiZBr01GJWCzqGx', '1c3EpIDelg8bJhmy4_scyZA7Zv_tMa7p8', '1b4IaWB7eJ-HU6dP09d3EELj6IQ4X7sUt', '1lwIxPhCU3eTP2jbkqfxHo6a5pu3sR4Z1']"
Louis Philippe Jeans,Slim Fit Printed T-shirt,1019,1199,15%,"['11vUTAMCWtnbYdPljrz3fLtQt6uuv2eES', '1zUYZU6BeayUAbCjh1G0i3rIghlycDIwV', '195-bWfNrkB6ux7HHY1yRBI6RqIBy_EDY', '1hXrQo6N1jVHR9yFq4mAU9U4EBAluMt1t', '1Qf4n2w1IS1CIlpG3AXjwc8xlZeKte5W0', '1G1SfMxnmAYL8hCoaUfBx_EevUxQ8in3g', '13tYZxeNAIltIpxe4HL1QobKmCwogUx2T', '1ENUHa5iv9FFQf9A8gN-OY_5wbvWX1Pgk']"
United Colors of Benetton,Solid Stand Collar T-shirt,979,1399,30%,"['1Tf7PM8M1z_zIF7ypD7OnNbKc6DtE-Sn4', '1m1y6teyKGpa_cItvHjOc4o1NcMRsRDSW', '1H1ACRjEIgBi-rHaVqHuS8QuZGaNWRCHT', '1hXrQo6N1jVHR9yFq4mAU9U4EBAluMt1t', '1TMTUPahQ51fqtpL-9c3K0vsV4Re6Pxm1', '1EOQE2z42kev3bRKGvqSWEkRnSeM0du8P', '1vyJe_HTE8MeAJ_HTojc08XP3_bubzg_h']"
Roadster,Striped Round Neck T-shirt,999,999,0%,"['17uEsx6hwk_dUf4TIrkldvhkhMGcSRxnP', '1hPgU0nKtJEDt90InrrohtFdpp5--MhlK', '1gVghTKy0Hxc1q9DbSJ30r_fi7GRjYwz5', '1WYAMzUHGHOQTZADmh5CF2LgxsFx7ddR6']"
Crocodile,Solid Slim Fit T-shirt,399,399,0%,"['1_SQ46yjs2we4UGYy8A9aJiMcsBUuiGsi', '1u8_Mz6Yp1Fbvh9aP9H6OxSMtrSHi8Y6T', '1PLREXKD-imEvm1EBbJse-KvX7DhtqX2f', '1i3MPLQKYD0H7EXvlVYioanlnTlE--iRA', '1K5qVULRAk1IryJAsH5OFsyGcEQlnMVnr']"
HERE&NOW,Camouflage Round Neck T-shirt,359,899,60%,"['1TE3TrCZUZW-Y7VYXK0dOKtq66soDDLn1', '1uoDU8zAKcAT_T8v5G68d_uNLuGrY-3ng', '1_s8ikj1pHPi1PKcy_JL7a31yn4Z1ZOGC', '1WN26yEv8fGv5vICNM4dSS_60oUGgbSRZ']"
Dollar Bigboss,Solid Polo Collar T-shirt,551,649,15%,"['1tmuOUHqEY8WrUPI6zp7LyaI_ivkLw2pt', '1ZGxwyfYd-x4ucC5yFfkKccTJozSOtBl7', '1qoGHYgZU0Vv7yz1E-LwtDTih_nG0D6Ta', '1cc5gaMBpK1zI4g3tVkOCKSe8Ny03-zaK', '1JH_e3KdY_FmItlxWkGA-qPDTZeu8TDMz', '1b1rPLmuVh3TyqyKtwKecl6TUvhkIBAqA', '1-xKZVMxzb2nZZWOTOBhFE8YajSef0WZE', '1iV3EWnX6mgBt9peyDZ7G2LtouD7GekCj']"
H&M,Solid Slub Jersey T-shirt,799,799,0%,"['1yg6gqeQ-x_0qb_3A2eMpSu_ME2AId59n', '1Bam42-SL5ybu4eSJrmjEwaRMqJpKD6-b', '1IdwSBDoiMlSqCeKTAhSEnyvlMXfQs8ql', '1nBvVQsdHEmDMhQi9hg5TCHq78rISBRdx', '10UH7siSOrKzvVyOCWXGahxvzW9dNleJ_', '1NoLH2g1576WhKxM1JdhNXS2PwUJkhxP-']"
DILLINGER,Striped Round Neck T-shirt,395,899,56%,"['184r1cEgX7nI3hZwU3s0Zi5JEZ09Q1ylc', '1MCTeCrXw0Wg0275u3eASNhmFGdnrss5b', '1jsmBEAvVkdfyT6zLluMzdgMhUXX7ahxN', '1TOJp_GBEwG1Dy00ssdUgNTb95NGdSQ86', '18ILdoHxEdXZDpgNBb-59zbwHKquT1GXA', '1DHtoX1p0T_7zyutXbxl22_QgC5kK-805']"
Hypernation,Men Solid Zipper T-shirt,989,1499,34%,"['1IZUSHdocv3dqtXIEbYWrUHqbGXAaY6P5', '1CyVYALt2CJXpGns8CdFk3zU6gxOPqiKs', '1RstbZPcjFpMzy1prnJ8nuF6XHealSwO-', '1voTfhlwM_tTnj5frEs8TPKOg8kVxJagE']"
Campus Sutra,Printed Round Neck T-shirt,299,999,70%,"['1s81uI78gRSDPaJlGlJJO5MM_Nxn5WVv1', '1Thbd2qrxXKA_imzhwZByulTv25JSTOP_', '1TFdRtr_wfKR98pEt8UvR6FlxLOdCVF4v', '1mJZ02s-Tx8bgFFcuEbkenZe4hg-5d72n', '1O4AzDb1tti_QZWixr7UQEt44sMRmqYo_', '1Ks4MgMCxYwyYDg49pLD0nkZR00uky_wC']"
Crocodile,Striped Polo Collar T-shirt,989,1799,45%,"['1hrj7awA-bvVjKKeTO9SprcgemT3sn9s5', '1uPRkhXLFuuHwcNl30AXJt3JUY0MqfasY', '18qlevUlQzT1-PABzDuu72i-EbD-AMuM2', '1Jwyrjnehg1h9QwOxsiu68vL02FApz24l', '1uxpeIllheLoeU8RZyEVDLz01VuMmRLbp']"
DILLINGER,Printed Round Neck T-shirt,395,899,56%,"['1PY23ShSEf_Pj-varFZ11QKLmCcDD7EXo', '1JDpqNa8TTV1mubhxYnx0yWcnO0ZIpCdL', '1Jombwc5hh5DPwNfEGL88rZUmVrGNlq4e', '1qUME1eWHahWRui40QYQWV-WezqTBoNeB', '1fKYEUnf1V-L8KNGRuWvngKasee3ysF1E']"
United Colors of Benetton,Solid Polo Collar T-shirt,1043,1799,42%,"['1tGXYLZxPxXz98q02elBgN74YRhYY0FWP', '1Thbd2qrxXKA_imzhwZByulTv25JSTOP_', '1brhnZ7q3LoddyygqppApg8E7vd_BBSRe', '1twIt8S1a83L8hdqdl3q2HHwNBom6Nz_g', '1A6b3KiNzmTBDz0e3HMud0SBJ8z37Mp68']"
WROGN,Printed Round Neck T-shirt,629,899,30 %,"['1wlvAdiYM2hYhFYcULCnDCw5kxLXnkgdq', '1OH9dP-Z0oWaRRN6oz5lGzUDrubYd6BCe', '1OH9dP-Z0oWaRRN6oz5lGzUDrubYd6BCe', '1rP0ZzHCTyuHrbZNQhCmLrDSP0bMGhkQ1', '1qIC2LVPAU8cPoevjOeoY4Q0ljXW1fGRb', '1UAaS9w7S91uFfYF7H1hmPS7tzyKvGfK5']"
Jack & Jones,Solid Polo Collar T-shirt,714,1299,45%,"['1VcXPzETdtjZ4-i3MlE8XWh4j1ahOY30z', '1CyVYALt2CJXpGns8CdFk3zU6gxOPqiKs', '1rN-dP6bD3DDxyizsnoOh3thl-G0Yd3mu', '17uEsx6hwk_dUf4TIrkldvhkhMGcSRxnP', '1uoDU8zAKcAT_T8v5G68d_uNLuGrY-3ng', '1mJZ02s-Tx8bgFFcuEbkenZe4hg-5d72n', '1MCTeCrXw0Wg0275u3eASNhmFGdnrss5b', '1uxpeIllheLoeU8RZyEVDLz01VuMmRLbp']"
Puma,Active KA DryCell Tshirt,779,1299,40%,"['1Los3t-vhSnCaPDILreVNiAf-u6P6Zt53', '1CHGHMtyidYlooQDO2LkvsB3T3PiuefCc', '15QATxamwmx1mMow__-yObRiG8HJ6nWDM', '1vi0eKPb8nueJLYPlAzJusmdz-MvbHb62', '1pzWJRU00jD85BGuXryyOiVHPEeZv-mYc', '1rDGiaewySpborjwrc1WbZdXN-yjjsg7t', '1Z1vaRyPoWII60nXTI4xRwAHmnOQRSFhH']"
Roadster,Men Polo Collar T-shirt,999,999,0%,"['1RstbZPcjFpMzy1prnJ8nuF6XHealSwO-', '1A158H2A9pw_UR7pu1bGwlr8PEcy30-th', '13E49lKWgmt-Vx8BYT5ZNxIMsYYjUiJKr', '1DG3kRISZZLP2rgwoaK0JA0R5zaiXiRSl']"
Ecko Unltd,Pack of 2 T-Shirts,518,798,35%,"['1CyVYALt2CJXpGns8CdFk3zU6gxOPqiKs', '1XYHWq_anJNmrgUTMQgI8uV1W18JIxFIH', '1cNH17zB-vFBQg9dYktT-1DNEQhQM0CDn', '1I8HN9k0sG9LXuU1GCFBy9nqCGr34raJy', '1foGkhG5sjCX-TzHt7f5mknkDTyHWPlgJ', '1vgKd64j8pYhIbDKz4kIuJJOWpM57E57-', '1NjoZuAgZr_RrteRx90g1NCM3wtmYmbIl', '1MT2VzwnaqKxubvbYON5adQgmfv9mBrCR']"
Puma,Solid Polo Collar T-shirt,2499,2499,0%,"['1nJumMQLRmWf7hJN6GMC4wy0IWzm4AaoN', '1rEpVpnmd_Mdj-AIeZpWI_PVm-0HMTJbG', '1GsIFR9OPOcSSwHD1zXe3GRnifdvf5-RB', '1L2SW6T9UrD73seA6_HAAMHTcb4Ki34_R', '1WIPm1XZHaDtwn-VHq4q08o9SrMNooPL9', '1cHTZtEXlY9Aekm9eVgcItCNqvPFyHn_A']"
Nike,Solid dri-Fit Yoga T-shirt,2120,2495,15%,"['1HtpCfRPNgKnaZLP4r49tQ6DeJHur3rgk', '1b6WYjvwCuYI7jVXHResPuofKdW2tZNFP', '18wq8YjbjxT4BjKSRGLoS_VJh_WQ5iImh', '1WIPm1XZHaDtwn-VHq4q08o9SrMNooPL9', '1RryHa0f7UFcYQJX8qTUEc_6cQC3XOCVZ', '1HdyxCtIUJbfGGGWe0KJTDWFiCSAuf3Nn', '1xTDXG9a3OsUOsxzUjWij2HOwX8-UlM_x']"
Mr Bowerbird,Solid Polo Collar T-shirt,899,1799,50%,"['14eQa3G6GP6CtOkmGShQHlyLsuLojlEDi', '1VFtDzcwf7zBAbka3M230dwF6Y_JAvzin', '1-4ir79-86YSZPoQK3ATz_iEGZ8OOM6li', '1KxcPGnHkttxit9WaJy5KWgBgssnfDBll', '170eoN-1ZHSe3RhlFBgjty3VD3m6yPiMy', '1QUEbL-lHEtFmJaqEIEJW9zdkvIGRL8vu', '15hKqjiSYEyxk7F6YK9zSh63Ynbsz7z7-']"
Roadster,Striped Polo Collar T-shirt,384,1099,65%,"['1qSHcPe6PTxkpOHoElZXZ7k79qxsiPLrx', '1yg6gqeQ-x_0qb_3A2eMpSu_ME2AId59n', '1sxDrnY-bqNbgU2RUQbGKlY5RsP--Xj89', '1IfA5Hmjh2DvYBJ2pYlHzLuSmg8RbQ2d5', '1DmGfGp6xSYFt4o3IK_qBl7WXKBgKK6sR']"
HRX by Hrithik Roshan,Active Rapid Dry T-shirt,539,1799,70%,"['15hKqjiSYEyxk7F6YK9zSh63Ynbsz7z7-', '11x2iaWztmqJ3qh4PIDdUY1thyrB3m4fN', '10QSZIcUbm7_aD2_foEBo6839MoLGTG4i', '1By5tSziUfkGBr6GzHjmmabnUtwQ10fB-', '1CEjWbVPgD07kl2hGvCGHALwftORvqQ7o', '1MSx09Oy43OfiH7UvxDIFfxCvRtEw0xOg']"
LE BOURGEOIS,Solid Hood T-shirt,399,999,60%,"['1r7lqrqqdVUkvbSWIyCKZNeMDOGshWe3h', '1-4ir79-86YSZPoQK3ATz_iEGZ8OOM6li', '1MFTUORixz1yi8dmi0IcRVJpnAeq1KnV-', '1EoZDt48R3AVntSvLebojKAOosnV5SAME', '1KQpbdBDmaNRDdpOSMfbqLv9NN3jgod8Z', '131DOH1FP1ss38LYhfz1gbt7RPGj5ZMPv', '1KbTjAV-4tC9I5rQW9icbmWItuLw5roP6']"
H&M,Round-Neck T-shirt Regular Fit,399,399,0%,"['1OXRhjD8YJhFJDP8VOopPFeE6lW20_2I4', '1tm-Y45isy1oMgFtGOgcsTQxEAHjTxtrj', '1iPfeAFcaqNBoRX6s3FAPwKl8-_E8gPCW', '1BHrFLqYSXFxCoagSpsUx0Dz6caZ89pIq', '1qJGLyO1euMgTDo4llgT8KiPFf_LHZuu1', '1yZdflA5j40p5Gs3t6T-TMPUikcM3mHDP', '1cjGZIm6rfyIDBoUWBPbouzvoB4N6i-Sq']"
Roadster,Striped Polo Collar T-shirt,479,1199,60%,"['1tT3RyCm0UwZcTr9dbNCbhh4YujYVXcbC', '1dYvyPAASq7btGAy_o92SyCIEPKEKCb1D', '1tm-Y45isy1oMgFtGOgcsTQxEAHjTxtrj', '1WYAMzUHGHOQTZADmh5CF2LgxsFx7ddR6']"
Puma,Printed Polo Collar T-shirt,1299,1999,35%,"['1TMTUPahQ51fqtpL-9c3K0vsV4Re6Pxm1', '1FMaq6iiFSHqfyW-R5qeBMqu3Vag6nEsN', '1ew847AXoFuwjzMCa9BBs5QtDc3VgV7x5', '1Z1vaRyPoWII60nXTI4xRwAHmnOQRSFhH', '1964Z4AVwvI0sSLZOjGtHidPCm83oQOVU', '1-yfsCQF2ddIB2NGI1S22ioN6LYMNpa6t']"
Ecko Unltd,Printed Round Neck T-shirt,335,399,16%,"['1eBPP3rGVlK1nWdBeEVTyjALWT4MaIBzr', '1TMTUPahQ51fqtpL-9c3K0vsV4Re6Pxm1', '12dxUJjyLFR6cq-qclf4u8fXjFhlcsT4i', '1LJz8zyiGy87bGud0htEOU6o9pQeoxzXw', '1L7pydrNEMJyTsb1dhOW3RYQsMAuEjnmY']"
Jack & Jones,Printed Slim Fit T-shirt,1349,1499,10%,"['1dYRSJAoQj7bsRevrwsoopHePvo4bEaVG', '1b6WYjvwCuYI7jVXHResPuofKdW2tZNFP', '1XB9nHa0t2AxSpM-1czqi8YWjl_neePT6', '1Devo_L8ywhjhbjDHb7nebWz98urUtjxn']"
Harvard,Printed Polo Collar T-shirt,494,1099,55%,"['1XYHWq_anJNmrgUTMQgI8uV1W18JIxFIH', '1DUQRlyIxRA50-tc0_dSGOA_8CppHJuvX', '1GJUuqUE-bA7cxZMISaj_2_-MT3FPAShE', '1FpMCpwCMddelBfl96I69NJ9cw5Z9V3JG', '1bLGY4Kv-wDBpWhIkqRjT4W8OIxFlfWlP', '1vgKd64j8pYhIbDKz4kIuJJOWpM57E57-', '15dTFssciTByO6DyJI_rszUBsGFf5dGCE']"
Roadster,Solid Henley Neck T-shirt,539,899,40%,"['1eMR7fn5qhOTqMEkB61Y1q-_R42DAy_wj', '1qoGHYgZU0Vv7yz1E-LwtDTih_nG0D6Ta', '1Fgz2B8_JANbWAVx4HU2dNh7FDMTw-owJ', '1OIMKWFOd0_3y87Mucr1UpecvH2Ck0iSU', '1xwF1Iu9NgD5MRRacV0IFp4yH8V42pKKw', '1xNHvcQgMMKgB5SGjhv9gmvyr7G_e3c7I']"
Kook N Keech,Superman Printed T-shirt,479,1199,60%,"['1_7-kcUTUEz9J2fiBQhgKAw4-nyzJarzB', '185DiRXxEnY8-L5W0Le8WCSb8mujodl0s', '1ZNaRF6FY-xL0AxjVzoQvq2lZIUqz5vd2', '1I8HN9k0sG9LXuU1GCFBy9nqCGr34raJy', '1A689ZnInae_syzXYTf3QC3uzlXFt2Edz']"
Puma,Printed Logo Split T-shirt,779,1299,40%,"['109jg4SByzV4EVrxo_PFESCJGP1xe6tsk', '1zLzqEjo3bcZuP8lUiMQNeEDJ0WJWWfPN', '1HdyxCtIUJbfGGGWe0KJTDWFiCSAuf3Nn', '1hPgU0nKtJEDt90InrrohtFdpp5--MhlK', '1dYRSJAoQj7bsRevrwsoopHePvo4bEaVG', '1HOh-JlKbz0QQozdX2OekiljQZUrzKRaz']"
Celio,Solid Round Neck T-shirt,524,699,25%,"['1E9G6B-aTKYHig-f-eIoxVz5rA1gWeZ3t', '1shtwrzaouzEpgE5-g0XSSw08FTW3G5-o', '1Dl6wEJ9vnaAp_ahzmBvtf-3mirvNA2bp', '1dkbEpLCvT6VudDgpFdFD3znXSSfnDs9-', '17v1-yOzVG6bR_573nWDqeu8DyGcqXbIM']"
Arrow,Men Self Design T-shirt,989,1799,45%,"['1pMUROCRoPlfpnbZeMWl-IK4tvIH_9c_K', '1AfSCb0a2dlSROO5hfD2QInqQE8w6jW4_', '1F2oWn82ADFipc5IH6rvCZSCOB6YsSR1i', '136jQXwrdrb5ocFd7IFXuz7HcV1pStTFs', '1Uw22EAeeGhO0s1ifkaIVkv31ypKBwusR', '1g2WcR8QR6IsfAvgxmAbocL0tVb8eufnK', '1-xKZVMxzb2nZZWOTOBhFE8YajSef0WZE']"
Roadster,Men Solid Polo Collar T-shirt,439,1099,60%,"['1L9ueV9qCGJekqDI2-Iy_qHtCQS9F1j2B', '1klerDRv3LINy_61atJeMGTryYlFu9c5x', '1uFrlrTi4Caki585DS3Qa9Avm9ChVyDUZ', '1eBPP3rGVlK1nWdBeEVTyjALWT4MaIBzr']"
Jockey,Men Solid Round Neck T-shirt,709,709,0%,"['13SQ8V0GI5-c_mZxm4Ktq5t7wdZW0YcnI', '1rdW80out5Ow3ao5Fu24vKKkUszWQMp4u', '122USp5LQQCT0zn8AERStSuFJMKbSAdxA', '170R07jYE1BwxPdIDswkwdoksszvFSQOG', '1O4Qia96r8hY-pVtdETa2BNlR_3a2E6YO', '1DG3kRISZZLP2rgwoaK0JA0R5zaiXiRSl', '1pVSLSL6BeGdFTeyGpDoKYFkkKB1os1DS', '17KVvwcKtmI2AQNZq7lFkdwGGkOazhA-F']"
WROGN,Printed Round Neck T-shirt,559,799,30 %,"['11rSUOtjn4wORo31S3iAyxpHq4mvJX-Tp', '14FUZXljEQKoTDgQFNKiG--3lH_3MlEx3', '1uPRkhXLFuuHwcNl30AXJt3JUY0MqfasY', '1CEjWbVPgD07kl2hGvCGHALwftORvqQ7o', '1w1q-gxkMlMyknTjUB7YQPgnAc9tmWiX5', '13Q9k__wLVXNKsnBGcrg8fGDy2yP3O97e', '1pzWJRU00jD85BGuXryyOiVHPEeZv-mYc']"
LOCOMOTIVE,Colourblocked Round Neck T-shirt,356,849,58%,"['1kLljXduOlSj2FT9bLKZkK7kYfFiflyJD', '1cHTZtEXlY9Aekm9eVgcItCNqvPFyHn_A', '1IZUSHdocv3dqtXIEbYWrUHqbGXAaY6P5', '1A6b3KiNzmTBDz0e3HMud0SBJ8z37Mp68', '13E49lKWgmt-Vx8BYT5ZNxIMsYYjUiJKr']"
Louis Philippe,Solid Polo Collar T-shirt,1359,1599,15%,"['1ze9fz4MKpnFK18eNqI2506pmcS39Uxj1', '1J5mW793QmMdpCe-jgRQo6B3YP0otrs_U', '1KPX5czNmOtUCnguFPcVJi3wgwQSdqHJd', '1dYRSJAoQj7bsRevrwsoopHePvo4bEaVG', '1g2WcR8QR6IsfAvgxmAbocL0tVb8eufnK', '1nl-8PTxXpFon0DKkGXhERjo_TYDHEKXE', '1Jje2TMAj-Uz76XexOyYkMiiSDFTvaqlc']"
H&M,Long T-shirt,699,699,0%,"['1vCwxpG8vLwOsUanPFE6p08t4ZRNorCE3', '1VcXPzETdtjZ4-i3MlE8XWh4j1ahOY30z', '1OIMKWFOd0_3y87Mucr1UpecvH2Ck0iSU', '1GJUuqUE-bA7cxZMISaj_2_-MT3FPAShE', '11RsYL-0lqbaVrGzfBJgnVrvfQUwwU7xN', '1O4Qia96r8hY-pVtdETa2BNlR_3a2E6YO']"
Roadster,Striped Mandarin Collar T-shirt,584,899,35%,"['1R1ZnecaoKDmxwZa_8z325ORPyCNT24Yi', '1ZrPtyCxzsVZOzgaXVPtdDcNrk8lLevcJ', '1ZMCTm1Ua1m2ES8LSIrJSNKf2oHMe-iID', '1PQJ2WBiKk0czVcJrOOYrLAEiVT6U-NgM', '1U9YUZExjxndJRCQX4d3Cm3ujMvYbjyoX', '1Wi4FnRk2Pc3w3Fh3Y-TP9NmTZbToWtWf', '1seem6OJbvcaJQ1UcoKgLV-adYKZwZ_00']"
Chkokko,Round Neck Running T-shirt,384,699,45%,"['1IZUSHdocv3dqtXIEbYWrUHqbGXAaY6P5', '15QATxamwmx1mMow__-yObRiG8HJ6nWDM', '1Jje2TMAj-Uz76XexOyYkMiiSDFTvaqlc', '1rkNVV7UwUSJCenMMNqTyQXqWiZR4ijSX', '10J4_0a6wYxwXhGkKgd1EOdBbl2-_QCx5', '1wlMswku-vo0WVkaogA4TueSbopmFHuKX', '1qJGLyO1euMgTDo4llgT8KiPFf_LHZuu1']"
Kook N Keech Marvel,Printed Round Neck T-shirt,319,799,60%,"['1ZrPtyCxzsVZOzgaXVPtdDcNrk8lLevcJ', '1bMulEX1ypHRppNayQVP14MBxoqtvrzzZ', '1hB3_NFf9g8f1na9HRS1PZhliUTknhSpS', '1iLgiwHk4LpiixEfHQoqQfJimGtNeIg2E', '1pzWJRU00jD85BGuXryyOiVHPEeZv-mYc', '1amDtEEiwyaxbxnrsZWW1QPHNFz8IQVS7']"
Alcis,Men Solid Training T-shirt,839,1399,40%,"['1Rq7s4-TwN0NIrEYrdb2bq3W_mN9ktw1M', '1gO6I8aaEjD0xACDZvSHNh4DfemTNqtus', '1MFTUORixz1yi8dmi0IcRVJpnAeq1KnV-', '1lw2P799U9cDzhmc20B0S_a85xLREPD4T', '1IWM2cX6OmkEvVhAq2VehLJHjLq3UjVwJ', '1seem6OJbvcaJQ1UcoKgLV-adYKZwZ_00', '1Ck2sxxIqfKfU5v5iAGfVVO0iLWeZYwdi', '1uPRkhXLFuuHwcNl30AXJt3JUY0MqfasY']"
