Brand,Title,Selling_Price,Price,Discount,image_indices
SG,Printed Round Neck T-shirt,474,499,5%,"['1nl-8PTxXpFon0DKkGXhERjo_TYDHEKXE', '16NrMgF0FKJUOOH4C_V1Ki-qLkb-EeI0l', '10nMXDKZRZGwjyK31k_gvZnfWl9T3kYP5', '1W9dm9JNrHLhGdQDt-0Xazi2aldcc-435', '1SsEmqzEWCJfo_TCzZTZMKAOgtnXo0SSe']"
H&M,Solid Slub Jersey T-shirt,799,799,0%,"['1KPX5czNmOtUCnguFPcVJi3wgwQSdqHJd', '11Zzj0QS-7iHTKp1moVPUzY9k89RvIgBa', '16NrMgF0FKJUOOH4C_V1Ki-qLkb-EeI0l', '1xwF1Iu9NgD5MRRacV0IFp4yH8V42pKKw', '1ys3Rb6AspO9jZwfLqnnqtVVn1U8TVcOu']"
HRX by Hrithik Roshan,Solid Round Neck T-shirt,454,699,35%,"['1B7lBYP3Ty_UBT6wiph9rQBsw9ljAS6C1', '1lw2P799U9cDzhmc20B0S_a85xLREPD4T', '1YrHg2x_BbybfOPwzG_YrTxJFc1NVRW_u', '12oqT8hiLlUVDy_sQJ6mSdalUb6lIZ3vO', '1yg6gqeQ-x_0qb_3A2eMpSu_ME2AId59n', '1QUEbL-lHEtFmJaqEIEJW9zdkvIGRL8vu', '1RDnvUNQVIHE1oNgy8rhgstudkgnhEbVJ']"
Campus Sutra,Colourblocked Round Neck T-shirt,398,949,58%,"['1MbY2kL-I_5_laMZp94kZImJokt0qAn66', '10QSZIcUbm7_aD2_foEBo6839MoLGTG4i', '1Jpp_80sYhREnXnKj9Ja8Y_0TiC7zQ-ch', '1xWtpv95ICpIur0irtanAmCQdHTUJoky0', '1MabyHRhpByLcwOFBvj2r0jblykJGE3pG', '1kLljXduOlSj2FT9bLKZkK7kYfFiflyJD', '1WN26yEv8fGv5vICNM4dSS_60oUGgbSRZ', '1-c6bt4DzR7f529mVsXcnr8flDzWhxh5j']"
Roadster,Solid Round Neck T-shirt,499,499,0%,"['1dnFQ0U1i5NDZGETq0tgkEBcpiZ5MyLds', '1QbtccGNVN6_Rf2chW-OwtIRxYzUDECBQ', '1RAeizc2pbsDPG4ec0H7CkFIhKi8amFdU', '1vXultWVc-Tp9iRGz27w1WTvC5LrvanUE', '17Hcu56BB8b-WcvGJiir46g5xRdAE2YQx']"
SG,Striped Polo Collar T-shirt,664,699,5%,"['1f7P5aJ8v9szQ5GWKUn_eU_S3pL-FzrMq', '1E5KWxLiMQ3GG3dV5tL3rTORWhVlwS_08', '1JkLpjTYPwv-Z4bSODPaOwKF_mJ9C-yMU', '18gGVULl--frIjP3Z_eoe-6MQxOeR2-Ek', '1gEL5qEe6K3cFh-TxpyrRXp3bh15HT6XI', '1WYAMzUHGHOQTZADmh5CF2LgxsFx7ddR6']"
Superdry,Men OSAKA Round Neck T-Shirt,2879,3599,20%,"['106FKa3jC_5oGhReO6vOF0r_o6zcbU8AO', '1sxDrnY-bqNbgU2RUQbGKlY5RsP--Xj89', '1DmGfGp6xSYFt4o3IK_qBl7WXKBgKK6sR', '1Q6usKqWg0ZvAIqUy8nsvdK3VJcM1cLJ-']"
HRX by Hrithik Roshan,Running Rapid Dry T-shirt,489,699,30%,"['1gQmQdrcvdDbxmCKyokPQ-dCCe9Y8SVg7', '1SaPWq4kCyf5NA7Ar_Ms6mXSX8q7OQLDr', '1-4ir79-86YSZPoQK3ATz_iEGZ8OOM6li', '1H3pZzAvkTRdx9z2UmjBv6vSZ7IrNjg7_', '17wYIRUUrIdeThddJK6xNoti9DGtmzoLF', '19DXktJ2O8DYmScb-v2QGMj4HpAZ6gO18']"
FIDO DIDO,Printed Polo Collar T-shirt,549,1099,50%,"['1hB3_NFf9g8f1na9HRS1PZhliUTknhSpS', '1qUME1eWHahWRui40QYQWV-WezqTBoNeB', '1kLljXduOlSj2FT9bLKZkK7kYfFiflyJD', '1YuFTfU4gbkUvfTVwFLBgdUcjx6-bjAp9', '10I2LCb1J0g-1SNDoKeaCY6HthKI-59d7']"
Jack & Jones,Solid Polo Collar T-shirt,714,1299,45%,"['1TjWJSgpE7PMsvsIrgyp4PKyWHCifQRU8', '14yU7ZMAa_bPH1GSggIccwN6Zow9BsUle', '1NKMyrlUl-0OUfWVXDJdKf9IwDXNcqiuU', '1GJUuqUE-bA7cxZMISaj_2_-MT3FPAShE', '1MKrsNljh7iQimduLRT7TWniFt7QByh-G', '18gGVULl--frIjP3Z_eoe-6MQxOeR2-Ek', '1NKMyrlUl-0OUfWVXDJdKf9IwDXNcqiuU']"
Beverly Hills Polo Club,Colourblocked Polo Collar T-shirt,3299,3299,0%,"['1I8HN9k0sG9LXuU1GCFBy9nqCGr34raJy', '1cjGZIm6rfyIDBoUWBPbouzvoB4N6i-Sq', '1cWhs6PKaWE2jn0lsMsCa8LTr2tIM44Wd', '10b0EEwqZbWquKiTtz2arPE9MS7ahlhiw', '109jg4SByzV4EVrxo_PFESCJGP1xe6tsk', '10FuRshOnesU1NbhBcLInCgqqGWdRViO_']"
Nike,Dri-FIT Training SL T-shirt,841,1295,35%,"['1nl-8PTxXpFon0DKkGXhERjo_TYDHEKXE', '1QEdxMog0tJ4Gda7Fb3xv6-rOa27BsbbT', '1gEL5qEe6K3cFh-TxpyrRXp3bh15HT6XI', '1JWKMy4f-y-wtotA56E5VF2-PMxZAmb1n', '1zMLG-nD40_wxJtHJAZtpxFeHpyDHKicH', '1ohmN9ASqKaR4gz9if8wUiO2j1eg_Z3HD', '1WaAYMmqIy47ftPLtvNw0IYm4X-FzkDSQ', '1DfPbJ_ARqfRJIyYt3VoXbsGT4XC1FZKF']"
Roadster,Striped V-Neck T-shirt,419,699,40%,"['1UIlWGaK-khXx7aR883ZYC9Q_2UFFBVcd', '1qOs_wggUYYGU4ze3bcxNtEDi7SzbR4Y4', '1r5WFRW-S4ClZD9LRrWKiLwdmdOBl65NZ', '1CI9bOf1UdU5SkFqehfu0Vre07c_MgvRZ', '1k20qN0LxHAaQuCW28eGkBMh7hC7ov_D1', '1UWsCqd8XxBXS-tUUqCSPDG1MbbkvJUc4']"
Rodzen,Striped Round Neck T-shirt,550,249 OFF),Rs. 249 OFF)%,"['17uEsx6hwk_dUf4TIrkldvhkhMGcSRxnP', '1W-yClAQ_0D3NqRpaZqTVGIzljU8L02GL', '1rg23vufvSez5qOpqH2jVedF1EdrUZgs9', '1_L9idFpp_QeVlwNZbZIsmT3-GcHfHg5Z', '14FUZXljEQKoTDgQFNKiG--3lH_3MlEx3', '1iPfeAFcaqNBoRX6s3FAPwKl8-_E8gPCW', '1T6bbm97-oJNH_skbfrqiE_YC1vDZnZCf']"
Rigo,Round Neck T-shirt,419,999,58%,"['131DOH1FP1ss38LYhfz1gbt7RPGj5ZMPv', '1JH_e3KdY_FmItlxWkGA-qPDTZeu8TDMz', '1uoDU8zAKcAT_T8v5G68d_uNLuGrY-3ng', '1WWgqMyInYoNkz-c0_xLMKHv3FmPP3rz3', '1iEZbM2lAp_2IOaht7Zz08imaBH9woe9s', '1W9dm9JNrHLhGdQDt-0Xazi2aldcc-435']"
HERE&NOW,Polo Collar T-shirt,599,1199,50%,"['1KjKbuqXroFoMfl-0t_MnHgydAPtoQaZW', '1kj2U5qSGO--XgRxfH9vlD3GbFrvNV1Xu', '1iwRHBmv2-BL8cLi1-DlqU1uG35PGkUp0', '1s6xYTYgm7-qVTtaZ93IFQLU6V1zcRIL7', '1ZQzNJcQt-J3-I4pz3JVOiGwaSWklaHA3']"
H&M,Long T-shirt,699,699,0%,"['1ChRdMaahqvOEIohUSdrJf8rMButcnEEI', '14eQa3G6GP6CtOkmGShQHlyLsuLojlEDi', '1UzpS7X39Yc_ujz57URtrDTRqBmUTj9XQ', '1HdyxCtIUJbfGGGWe0KJTDWFiCSAuf3Nn', '1kj2U5qSGO--XgRxfH9vlD3GbFrvNV1Xu']"
Roadster,Solid Round Neck T-shirt,324,499,35%,"['1KaqqTMWf5C4KfkTLFfxQCUSGbXfOQiXf', '1cbgIMTjzK78Q7cBmiTB0A14kteMoJFyw', '10nMXDKZRZGwjyK31k_gvZnfWl9T3kYP5', '1qJGLyO1euMgTDo4llgT8KiPFf_LHZuu1', '1gQmQdrcvdDbxmCKyokPQ-dCCe9Y8SVg7', '11RMLeBpELH5m227d7mqhv6YcyG1D419v', '12oqT8hiLlUVDy_sQJ6mSdalUb6lIZ3vO', '1lBnIw52XZKYCNNhI1jxNncNSlrYpHmp5']"
HRX by Hrithik Roshan,Men Rapid Dry Training Tshirts,799,799,0%,"['14RxGWA-PEngDS0QnzkJ6XxU6PjTqrxEH', '1MbY2kL-I_5_laMZp94kZImJokt0qAn66', '10I2LCb1J0g-1SNDoKeaCY6HthKI-59d7', '1uDQ3KG9ss5zjI8EcMp1B18kh7am29rZ6', '1nl-8PTxXpFon0DKkGXhERjo_TYDHEKXE', '1yQ-FpW9C3P-qTPhi_ljS9mhf2zGEc861']"
H&M,Round-Neck T-shirt Regular Fit,399,399,0%,"['1xwF1Iu9NgD5MRRacV0IFp4yH8V42pKKw', '1vM3TXHZqE8pbz57vni9QZcMMBmVvJDMt', '1XYHWq_anJNmrgUTMQgI8uV1W18JIxFIH', '1Uk2-64XfecNLJllv2oAONExx_M6BEJ8u', '1vmSwAK_jIKchb21qZQPa7VM1xNXdHqEh', '1ZNaRF6FY-xL0AxjVzoQvq2lZIUqz5vd2', '1shtwrzaouzEpgE5-g0XSSw08FTW3G5-o', '1b1rPLmuVh3TyqyKtwKecl6TUvhkIBAqA']"
Calvin Klein Jeans,Men Performance Fit T-shirt,2124,2499,15%,"['1lef0AiRV3uIm5H_SfM9-1UUhNQqwlTl1', '1UMrbQ6hClcE6bIbekq671iROgJudP7lN', '151kJH6hNTtJAJAtkwiBz3OBddrK8Ipl-', '1V7Dz7k-gfWnpQDQz6XWGOWocdKOg-Gkb', '1rRw5Ssf40ZI4vywbG_OHX_3hiBnNELoI', '1yg6gqeQ-x_0qb_3A2eMpSu_ME2AId59n', '1iwRHBmv2-BL8cLi1-DlqU1uG35PGkUp0']"
HERE&NOW,Striped Polo Collar T-shirt,439,1099,60%,"['13Rzf5Q8TyV1X3uMp2GLX8cjXjQoiRO08', '1_-Af3srIdAjWnO30Cg9iU64JohBqH9e2', '1hrj7awA-bvVjKKeTO9SprcgemT3sn9s5', '10I2LCb1J0g-1SNDoKeaCY6HthKI-59d7', '1DyeSHR75UVCW-LQpKgFw0U4cczqrxqwV', '1OPKHbluFeGdtUFW3Mm3RE6-nGdmmfO-1']"
Roadster,Colourblocked T-shirt,474,499,5%,"['1Wi4FnRk2Pc3w3Fh3Y-TP9NmTZbToWtWf', '1KjKbuqXroFoMfl-0t_MnHgydAPtoQaZW', '18qlevUlQzT1-PABzDuu72i-EbD-AMuM2', '17tHQ1MIzvcJRp3M9pvNnZLKiNKeUGR8r', '1SZdpgKBWoo1W6EJmXsEYgYR4V3qw0Is9', '1cCDU47W1qN0kzEdF4YX0toPFMNXhjV-n']"
